passage_id,ticker,company,sector,year,doc_type,section,word_count,gold_sentiment,gold_intensity,gold_guidance,gold_guid_type,model,model_label,prompt_key,shots,pred_sentiment,pred_intensity,pred_guidance,pred_guid_type,pred_key_phrase,pred_rationale,guid_confidence,guid_spans,latency_ms,error,retry_count,raw_response,is_sentiment_error,is_guidance_error,is_any_error,error_tags,error_tags_str,n_error_tags
FBNH_2021_operating_review_0_0,FBNH,FBN Holdings Plc,Banking,2021,interim_report,operating_review,195,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,positive,strong,False,none,Profit before tax of NGN45.2bn (up 9.2% y-o-y) and 48.1% increase y-o-y in non-interest Income,"The passage highlights several key financial metrics that have improved over the past year, including profit before tax and non-interest income, which creates a strongly positive sentiment. There is no explicit forward-looking guidance present in the passage, which focuses on historical performance and long-term strategic initiatives.",high,[],4610.0,,0,"{
  ""sentiment"": ""positive"",
   ""intensity"": ""strong"",
   ""sentiment_key_phrase"": ""Profit before tax of NGN45.2bn (up 9.2% y-o-y) and 48.1% increase y-o-y in non-interest Income"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage highlights several key financial metrics that have improved over the past year, including profit before tax and non-interest income, which creates a strongly positive sentiment. There is no explicit forward-looking guidance present in the passage, which focuses on historical performance and long-term strategic initiatives.""
}",False,False,False,[],,0
FBNH_None_chairman_statement_0_0,FBNH,FBN Holdings Plc,Banking,,earnings_release,chairman_statement,197,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,Certification pursuant to section 60(2) of Investment and Securities Act No. 29 of 2007,"The passage is procedurally formal and lacks any emotive or evaluative language, resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, which is primarily focused on certification and compliance with regulatory requirements.",high,[],1085.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""Certification pursuant to section 60(2) of Investment and Securities Act No. 29 of 2007"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is procedurally formal and lacks any emotive or evaluative language, resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, which is primarily focused on certification and compliance with regulatory requirements.""
}",False,False,False,[],,0
FBNH_None_chairman_statement_0_1,FBNH,FBN Holdings Plc,Banking,,earnings_release,chairman_statement,220,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,financial statements and other financial information included in the report fairly represent in all material respects,"The passage maintains a neutral tone, primarily focused on procedural and regulatory compliance matters without expressing any emotional language or forward-looking performance expectations. There is no forward-looking guidance present in the passage, which is consistent with its formal and informational nature.",high,[],1259.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""financial statements and other financial information included in the report fairly represent in all material respects"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage maintains a neutral tone, primarily focused on procedural and regulatory compliance matters without expressing any emotional language or forward-looking performance expectations. There is no forward-looking guidance present in the passage, which is consistent with its formal and informational nature.""
}",False,False,False,[],,0
FBNH_None_chairman_statement_1_0,FBNH,FBN Holdings Plc,Banking,,earnings_release,chairman_statement,193,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,financial statements and other financial information included in the report fairly represent in all material respects the financial condition and results of operations of the Company,"The passage is procedurally formal and lacks emotive language, resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, which is focused on certifying the accuracy and fairness of the financial report.",high,[],1046.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""financial statements and other financial information included in the report fairly represent in all material respects the financial condition and results of operations of the Company"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is procedurally formal and lacks emotive language, resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, which is focused on certifying the accuracy and fairness of the financial report.""
}",False,False,False,[],,0
FBNH_None_chairman_statement_1_1,FBNH,FBN Holdings Plc,Banking,,earnings_release,chairman_statement,174,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,have evaluated the effectiveness of the Company's internal controls,"The passage is written in a formal and procedural tone, lacking any emotional or sentiment-bearing language, thus resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, which is focused on internal controls and audit procedures, leading to the conclusion that no guidance is provided.",high,[],1201.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""have evaluated the effectiveness of the Company's internal controls"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is written in a formal and procedural tone, lacking any emotional or sentiment-bearing language, thus resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, which is focused on internal controls and audit procedures, leading to the conclusion that no guidance is provided.""
}",False,False,False,[],,0
FBNH_None_ceo_review_0_0,FBNH,FBN Holdings Plc,Banking,,earnings_release,ceo_review,193,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,Certification pursuant to section 60(2) of Investment and Securities Act No. 29 of 2007,"The passage is procedurally formal and lacks emotive language, resulting in a neutral sentiment. There is no forward-looking guidance present, as the content is focused on certification and compliance with regulatory requirements.",high,[],1007.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""Certification pursuant to section 60(2) of Investment and Securities Act No. 29 of 2007"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is procedurally formal and lacks emotive language, resulting in a neutral sentiment. There is no forward-looking guidance present, as the content is focused on certification and compliance with regulatory requirements.""
}",False,False,False,[],,0
FBNH_None_ceo_review_0_1,FBNH,FBN Holdings Plc,Banking,,earnings_release,ceo_review,220,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,financial statements and other financial information included in the report fairly represent in all material respects,"The passage maintains a neutral tone, primarily focused on procedural and regulatory compliance matters without expressing any emotional language or forward-looking performance expectations. There is no forward-looking guidance present in the passage, which is consistent with its formal and informational nature.",high,[],1309.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""financial statements and other financial information included in the report fairly represent in all material respects"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage maintains a neutral tone, primarily focused on procedural and regulatory compliance matters without expressing any emotional language or forward-looking performance expectations. There is no forward-looking guidance present in the passage, which is consistent with its formal and informational nature.""
}",False,False,False,[],,0
FBNH_None_ceo_review_0_2,FBNH,FBN Holdings Plc,Banking,,earnings_release,ceo_review,370,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,positive,moderate,False,none,"Operating profit 209,934, Profit before tax 210,388","The financial performance indicators such as operating profit and profit before tax show a positive trend, contributing to the overall moderate positive sentiment. There is no explicit forward-looking guidance present in the passage, which is primarily focused on presenting historical financial data.",high,[],2032.0,,0,"{
  ""sentiment"": ""positive"",
   ""intensity"": ""moderate"",
   ""sentiment_key_phrase"": ""Operating profit 209,934, Profit before tax 210,388"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The financial performance indicators such as operating profit and profit before tax show a positive trend, contributing to the overall moderate positive sentiment. There is no explicit forward-looking guidance present in the passage, which is primarily focused on presenting historical financial data.""
}",False,False,False,[],,0
FBNH_None_ceo_review_0_3,FBNH,FBN Holdings Plc,Banking,,earnings_release,ceo_review,249,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,positive,strong,False,none,"Operating profit 17,554 26,149","The passage presents a strongly positive sentiment due to the significant increase in operating profit and profit for the period from continuing operations. There is no forward-looking guidance present in the passage, which is primarily a financial statement with historical data.",high,[],1176.0,,0,"{
  ""sentiment"": ""positive"",
   ""intensity"": ""strong"",
   ""sentiment_key_phrase"": ""Operating profit 17,554 26,149"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage presents a strongly positive sentiment due to the significant increase in operating profit and profit for the period from continuing operations. There is no forward-looking guidance present in the passage, which is primarily a financial statement with historical data.""
}",False,False,False,[],,0
FBNH_None_ceo_review_0_4,FBNH,FBN Holdings Plc,Banking,,earnings_release,ceo_review,155,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,Total comprehensive income for the period,"The passage presents financial data in a neutral and factual manner, lacking any emotive language that could sway sentiment either positively or negatively. There is no forward-looking guidance present in the passage, which is purely a presentation of historical financial data without any projections or expectations for future performance.",high,[],6871.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""Total comprehensive income for the period"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage presents financial data in a neutral and factual manner, lacking any emotive language that could sway sentiment either positively or negatively. There is no forward-looking guidance present in the passage, which is purely a presentation of historical financial data without any projections or expectations for future performance.""
}",False,False,False,[],,0
FBNH_None_ceo_review_1_0,FBNH,FBN Holdings Plc,Banking,,earnings_release,ceo_review,193,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,fairly represent in all material respects the financial condition and results of operations,"The passage is procedurally formal and lacks emotive language, resulting in a neutral sentiment. There is no forward-looking guidance present, as the text is focused on certifying the accuracy and fairness of the financial report for a past period.",high,[],6985.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""fairly represent in all material respects the financial condition and results of operations"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is procedurally formal and lacks emotive language, resulting in a neutral sentiment. There is no forward-looking guidance present, as the text is focused on certifying the accuracy and fairness of the financial report for a past period.""
}",False,False,False,[],,0
FBNH_None_ceo_review_1_1,FBNH,FBN Holdings Plc,Banking,,earnings_release,ceo_review,174,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,have evaluated the effectiveness of the Company's internal controls,"The passage is written in a formal and procedural tone, lacking any emotional or sentiment-bearing language, thus resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, which is focused on internal controls and audit procedures, leading to the conclusion that no guidance is provided.",high,[],5349.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""have evaluated the effectiveness of the Company's internal controls"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is written in a formal and procedural tone, lacking any emotional or sentiment-bearing language, thus resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, which is focused on internal controls and audit procedures, leading to the conclusion that no guidance is provided.""
}",False,False,False,[],,0
FBNH_None_ceo_review_1_2,FBNH,FBN Holdings Plc,Banking,,earnings_release,ceo_review,370,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,positive,moderate,False,none,"Operating profit 209,934, Profit before tax 210,388","The financial results show a positive trend with increasing operating profit and profit before tax, indicating a moderate positive sentiment. There is no forward-looking guidance present in the passage, which is primarily focused on presenting historical financial data.",high,[],9146.0,,0,"{
  ""sentiment"": ""positive"",
   ""intensity"": ""moderate"",
   ""sentiment_key_phrase"": ""Operating profit 209,934, Profit before tax 210,388"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The financial results show a positive trend with increasing operating profit and profit before tax, indicating a moderate positive sentiment. There is no forward-looking guidance present in the passage, which is primarily focused on presenting historical financial data.""
}",False,False,False,[],,0
FBNH_None_ceo_review_1_3,FBNH,FBN Holdings Plc,Banking,,earnings_release,ceo_review,249,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,positive,strong,False,none,"Operating profit 17,554 26,149","The passage presents a strongly positive sentiment due to the significant increase in operating profit and profit for the period from continuing operations. There is no forward-looking guidance present in the passage, which is primarily a financial statement with historical data.",high,[],8985.0,,0,"{
  ""sentiment"": ""positive"",
   ""intensity"": ""strong"",
   ""sentiment_key_phrase"": ""Operating profit 17,554 26,149"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage presents a strongly positive sentiment due to the significant increase in operating profit and profit for the period from continuing operations. There is no forward-looking guidance present in the passage, which is primarily a financial statement with historical data.""
}",False,False,False,[],,0
FBNH_None_ceo_review_1_4,FBNH,FBN Holdings Plc,Banking,,earnings_release,ceo_review,155,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,Total comprehensive income for the period,"The passage presents financial data in a neutral and factual manner, lacking any emotive language that could sway sentiment either positively or negatively. There is no forward-looking guidance present in the passage, which is purely a presentation of historical financial data without any projections or expectations for future performance.",high,[],3859.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""Total comprehensive income for the period"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage presents financial data in a neutral and factual manner, lacking any emotive language that could sway sentiment either positively or negatively. There is no forward-looking guidance present in the passage, which is purely a presentation of historical financial data without any projections or expectations for future performance.""
}",False,False,False,[],,0
FBNH_None_chairman_statement_0_0,FBNH,FBN Holdings Plc,Banking,,quarterly_results,chairman_statement,375,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,Certification pursuant to section 60(2) of Investment and Securities Act No. 29 of 2007,"The passage is neutral in sentiment as it primarily consists of formal and procedural language related to certification and compliance. There is no forward-looking guidance present in the passage, which is typical of formal corporate disclosures that focus on regulatory compliance rather than performance projections.",high,[],9464.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""Certification pursuant to section 60(2) of Investment and Securities Act No. 29 of 2007"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is neutral in sentiment as it primarily consists of formal and procedural language related to certification and compliance. There is no forward-looking guidance present in the passage, which is typical of formal corporate disclosures that focus on regulatory compliance rather than performance projections.""
}",False,False,False,[],,0
FBNH_None_chairman_statement_1_0,FBNH,FBN Holdings Plc,Banking,,quarterly_results,chairman_statement,335,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,Certification pursuant to section 60(2) of Investment and Securities Act No. 29 of 2007,"The passage is a formal certification statement with no emotional tone, resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, as it is focused on certifying the accuracy and completeness of the financial report.",high,[],6537.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""Certification pursuant to section 60(2) of Investment and Securities Act No. 29 of 2007"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is a formal certification statement with no emotional tone, resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, as it is focused on certifying the accuracy and completeness of the financial report.""
}",False,False,False,[],,0
FBNH_None_ceo_review_0_1,FBNH,FBN Holdings Plc,Banking,,quarterly_results,ceo_review,168,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,financial statements and other financial information included in the report fairly represent in all material respects the financial condition and results of operations of the Company,"The passage is written in a formal and procedural tone, indicating a neutral sentiment with mild intensity due to the lack of emotive language. There is no forward-looking guidance present in the passage, which is focused on internal controls and financial reporting, hence no guidance is provided.",high,[],7214.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""financial statements and other financial information included in the report fairly represent in all material respects the financial condition and results of operations of the Company"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is written in a formal and procedural tone, indicating a neutral sentiment with mild intensity due to the lack of emotive language. There is no forward-looking guidance present in the passage, which is focused on internal controls and financial reporting, hence no guidance is provided.""
}",False,False,False,[],,0
FBNH_None_ceo_review_0_2,FBNH,FBN Holdings Plc,Banking,,quarterly_results,ceo_review,194,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,Share Price at end of reporting period: N50.00,"The passage is primarily a factual disclosure of shareholding structure and financial data, resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, which is focused on historical data and compliance reporting.",high,[],6817.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""Share Price at end of reporting period: N50.00"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is primarily a factual disclosure of shareholding structure and financial data, resulting in a neutral sentiment. There is no forward-looking guidance present in the passage, which is focused on historical data and compliance reporting.""
}",False,False,False,[],,0
FBNH_None_ceo_review_0_3,FBNH,FBN Holdings Plc,Banking,,quarterly_results,ceo_review,168,,,,,llama3,Llama 3.3 70B (Groq),combined_5shot,5,neutral,mild,False,none,compliant with the Nigerian Stock Exchange's free float requirements,"The passage is neutral as it primarily presents factual information about shareholdings and compliance with stock exchange requirements, lacking any emotive or directional language. There is no forward-looking guidance present in the passage, which is focused on historical data and regulatory compliance.",high,[],7045.0,,0,"{
  ""sentiment"": ""neutral"",
   ""intensity"": ""mild"",
   ""sentiment_key_phrase"": ""compliant with the Nigerian Stock Exchange's free float requirements"",
   ""has_guidance"": false,
   ""guidance_type"": ""none"",
   ""guidance_spans"": [],
   ""guidance_confidence"": ""high"",
   ""overall_rationale"": ""The passage is neutral as it primarily presents factual information about shareholdings and compliance with stock exchange requirements, lacking any emotive or directional language. There is no forward-looking guidance present in the passage, which is focused on historical data and regulatory compliance.""
}",False,False,False,[],,0
